date,regime,investable,reasons,top_abs_pct,top_fund_abs_pct,stop_fund_abs_pct,top_alpha_pct,ic,baseline_abs_pct,mom20_pct,pctile,n_funds
2024-09-19,BEAR,False,指数20日动量-4.1%<-3.0%,6.758,"7.81,10.49,5.01,5.27,5.21","-1.54,-0.21,2.98,3.01,2.97",-18.062,-0.4479,20.497,-4.1,29.2,599
2024-10-24,BULL,False,250日涨幅分位98%>90.0%,-0.706,"1.20,6.08,-1.15,-5.05,-4.61","-25.52,-24.76,-17.48,-6.69,-16.18",-1.13,0.1791,1.572,22.93,97.7,600
2024-11-21,BULL,False,250日涨幅分位98%>90.0%,-1.728,"3.14,5.32,-1.68,-1.52,-13.90","2.98,-16.76,5.78,20.14,-1.52",2.708,0.164,-3.018,1.54,98.3,599
2024-12-19,BULL,False,250日涨幅分位100%>90.0%,13.071,"8.45,15.89,16.88,15.55,8.59","-18.52,-22.30,-21.95,-22.43,-19.46",12.457,-0.007,4.127,-1.1,99.7,599
2025-01-17,NEUTRAL,False,指数20日动量-3.4%<-3.0%|250日涨幅分位97%>90.0%,12.705,"16.17,3.28,11.48,8.06,24.53","-6.75,-25.52,-6.07,-16.94,-15.58",9.492,0.2036,6.277,-3.37,97.3,600
2025-02-24,BULL,False,250日涨幅分位100%>90.0%,-9.07,"-15.80,20.98,-22.32,-9.99,-18.22","-20.58,2.14,-16.74,-14.61,-7.93",-4.391,-0.4387,-1.342,4.13,99.9,600
2025-03-24,BULL,True,,0.047,"4.28,-5.80,-8.40,10.71,-0.56","20.27,15.46,1.46,19.80,-0.23",1.384,0.3809,-3.553,-0.88,88.1,599
2025-04-22,NEUTRAL,False,指数20日动量-3.8%<-3.0%,0.328,"-5.28,-5.67,0.10,14.26,-1.78","2.98,2.69,20.14,5.42,-2.62",-1.626,0.1304,2.825,-3.83,85.9,597
2025-05-23,BULL,True,,25.997,"38.14,27.89,23.68,17.92,22.36","0.81,-1.61,12.02,-12.63,0.72",20.759,-0.2191,5.233,2.6,80.8,599
2025-06-23,NEUTRAL,True,,-0.564,"-1.65,-0.30,-0.44,-0.27,-0.16","5.70,4.44,0.10,0.09,0.25",-10.453,-0.4577,13.803,-0.63,86.8,599
2025-07-21,BULL,False,250日涨幅分位98%>90.0%,58.487,"56.45,57.29,62.12,64.94,51.63","-17.36,-15.03,-19.39,-23.18,-17.86",47.535,0.5304,22.524,5.9,97.7,598
2025-08-18,BULL,False,250日涨幅分位100%>90.0%,19.145,"10.38,23.66,8.22,23.70,29.76","-17.46,-17.48,-21.10,-13.94,-17.27",10.454,0.4592,6.702,3.76,99.9,600
2025-09-15,BULL,False,250日涨幅分位100%>90.0%,0.748,"-0.23,2.07,1.06,0.22,0.61","-21.07,-23.98,-21.71,-25.61,-26.73",-0.027,0.1294,0.334,6.93,99.7,600
2025-10-21,BULL,True,,7.81,"8.15,21.31,5.84,-4.42,8.16","-20.21,-20.68,-18.25,-20.14,-16.91",10.205,0.154,-1.122,1.65,86.4,599
2025-11-18,BULL,True,,6.094,"10.00,-0.08,0.64,18.67,1.24","-15.82,-9.68,-2.69,-2.59,2.10",2.083,-0.269,6.631,-0.86,75.5,600
2025-12-16,NEUTRAL,True,,14.757,"36.52,18.54,8.93,8.74,1.06","-14.86,-14.41,2.52,6.79,3.58",9.82,-0.0659,15.911,-1.55,81.3,599
2026-01-15,BULL,False,250日涨幅分位95%>90.0%,-18.755,"-20.41,-25.32,-13.77,-13.19,-21.09","-5.03,3.34,7.66,-1.85,6.38",-14.874,-0.2432,-4.689,5.64,95.1,598
2026-02-12,BULL,False,250日涨幅分位90%>90.0%,2.095,"1.88,-0.39,6.30,-4.46,7.15","-9.99,-18.35,-21.26,-22.25,-20.56",1.293,0.2809,-0.692,-0.67,90.3,598
2026-03-20,NEUTRAL,False,指数20日动量-3.2%<-3.0%,36.531,"53.29,36.55,38.37,36.90,17.54","-25.41,-24.18,-18.57,-24.05,-20.60",31.8,0.2853,8.475,-3.23,78.3,591
2026-04-20,BULL,False,250日涨幅分位96%>90.0%,34.424,"38.50,42.16,30.04,29.70,31.72","-23.30,-24.15,-22.35,-22.84,-24.06",30.553,0.6366,4.409,4.17,95.6,598
2026-05-21,BULL,False,250日涨幅分位91%>90.0%,12.914,"13.58,9.96,17.35,11.04,12.63","-25.13,-24.51,-24.93,-16.77,-15.64",18.224,0.1991,-5.985,0.54,90.8,597
2026-06-18,BULL,False,250日涨幅分位93%>90.0%,-24.07,"-23.88,-23.51,-23.65,-23.58,-25.73","-17.28,-13.77,-15.73,-25.61,-20.43",-18.49,-0.7009,-1.957,3.31,93.2,596
