date,regime,investable,reasons,top_abs_pct,top_fund_abs_pct,stop_fund_abs_pct,top_alpha_pct,ic,baseline_abs_pct,mom20_pct,pctile,n_funds
2025-07-21,BULL,True,,24.655,"-4.09,-1.59,23.62,57.29,48.05","-3.05,9.18,-24.93,-15.03,-21.95",13.703,0.4556,10.36,5.9,97.7,600
2025-08-18,BULL,True,,21.656,"16.77,10.38,25.36,23.55,32.22","-23.25,-17.46,-22.71,-20.14,-14.16",12.965,0.5179,8.497,3.76,99.9,598
2025-09-15,BULL,True,,-0.078,"0.81,-3.20,-4.79,2.15,4.65","-23.55,-16.76,-18.41,-23.96,-20.02",-0.853,0.1308,-2.301,6.93,99.7,600
2025-10-21,BULL,True,,8.463,"5.26,1.27,25.36,5.09,5.34","-23.63,-21.06,-22.16,-23.57,-19.52",10.857,0.1473,-0.363,1.65,86.4,599
2025-11-18,BULL,True,,10.423,"1.84,-0.53,43.55,9.41,-2.16","7.51,-2.69,-21.13,5.78,2.53",6.412,-0.2433,14.058,-0.86,75.5,600
2025-12-16,NEUTRAL,True,,19.535,"11.36,32.28,22.71,16.30,15.02","-28.94,-21.80,-9.79,3.00,2.69",14.599,-0.0805,10.641,-1.55,81.3,598
2026-01-15,BULL,True,,-21.116,"-21.68,-21.55,-30.12,-19.04,-13.19","-18.64,7.11,1.21,-19.38,-1.85",-17.235,-0.2984,-5.614,5.64,95.1,600
2026-02-12,BULL,True,,4.132,"3.28,3.38,12.23,2.30,-0.53","-12.19,-25.14,-21.20,-13.22,-19.08",3.33,0.282,1.135,-0.67,90.3,600
2026-03-20,NEUTRAL,True,,38.643,"32.47,49.10,36.55,38.30,36.79","-26.32,-24.47,-24.18,-39.15,-24.08",33.911,0.2981,7.651,-3.23,78.3,588
2026-04-20,BULL,True,,26.041,"18.26,17.96,18.04,33.57,42.37","-19.31,-14.35,-14.26,-25.52,-22.39",22.17,0.6108,1.283,4.17,95.6,600
2026-05-21,BULL,True,,2.748,"10.06,10.02,9.54,11.01,-26.90","-24.67,-24.68,-24.44,-25.64,-11.46",8.059,0.1508,-7.283,0.54,90.8,595
2026-06-18,BULL,True,,-24.841,"-26.28,-23.63,-24.43,-26.22,-23.64","-39.17,-23.85,-14.21,-26.79,-21.43",-19.261,-0.7098,-5.262,3.31,93.2,596
